skills,Count,Min_Experience,Max_Experience,Company-Name
N/A,221,,,
Java,12,,,
PHP,12,,,
computer,11,,,
Computer,9,,,
JavaScript,5,,,
"PHP, Laravel",4,,,
.NET,4,,,
ASP.NET,4,,,
SQL,3,,,
,46,2.0,,
,43,3.0,,
,32,4.0,,
,30,5.0,,
,22,1.0,,
,5,8.0,,
,4,6.0,,
,4,7.0,,
,1,9.0,,
,65,,2.0,
,49,,5.0,
,45,,3.0,
,36,,7.0,
,32,,8.0,
,29,,1.0,
,27,,4.0,
,23,,6.0,
,15,,10.0,
,13,,9.0,
,11,,,IBM
,9,,,S&P GLOBAL MARKET INTELLIGENCE
,8,,,CR2 TECHNOLOGIES
,8,,,MM STAFFING CAREER CONSULTANTS PRIVATE LIMITED
,8,,,ACCENTURE
,6,,,MANTRASSUCCESS CONSULTANTS
,6,,,ALLIES BUSINESS HUB
,5,,,NOIDA POWER COMPANY LIMITED
,4,,,ARTH INFOSOFT
,4,,,NXC CONTROLS
